Year,Population Density,Temp (C),PH scale,Seawater CO2 
1988,40.06376359,26.283,8.1292,330.9
1989,40.76069479,25.659,8.1193,330.6
1989,40.76069479,24.61,8.1113,324.3
1989,40.76069479,23.479,8.1091,310.9
1989,40.76069479,24.278,8.1113,317.7
1989,40.76069479,23.87,8.0993,326.2
1989,40.76069479,25.755,8.1134,334.3
1989,40.76069479,25.358,8.1047,340.4
1989,40.76069479,26.202,8.1113,343.8
1989,40.76069479,26.33,8.1191,337.8
1989,40.76069479,26.136,8.103,350.5
1990,41.46815234,25.142,8.1126,329.7
1990,41.46815234,23.982,8.1183,310.8
1990,41.46815234,23.874,8.1064,317.2
1990,41.46815234,23.237,8.1079,310.1
1990,41.46815234,23.435,8.0998,320.2
1990,41.46815234,23.835,8.0996,324.3
1990,41.46815234,24.667,8.1186,318.9
1990,41.46815234,25.601,8.1177,329.7
1990,41.46815234,26.399,8.1061,353.6
1991,42.1585604,23.923,8.1054,322.4
1991,42.1585604,23.302,8.1006,317.4
1991,42.1585604,23.087,8.098,318
1991,42.1585604,23.433,8.1,319.2
1991,42.1585604,23.985,8.0995,326.5
1991,42.1585604,24.605,8.1083,327.3
1991,42.1585604,25.496,8.1197,327.8
1991,42.1585604,25.957,8.1138,339.7
1991,42.1585604,26.341,8.1146,344.4
1991,42.1585604,26.705,8.1238,338.6
1992,42.82047594,25.7,8.1147,334.7
1992,42.82047594,24.214,8.1063,324.1
1992,42.82047594,23.014,8.0962,317.8
1992,42.82047594,23.834,8.1019,321.9
1992,42.82047594,23.649,8.09,331.7
1992,42.82047594,25.698,8.126,325.5
1992,42.82047594,25.429,8.1045,343
1992,42.82047594,26.054,8.1116,342.4
1992,42.82047594,26.312,8.1132,346.2
1992,42.82047594,26.554,8.1105,351.6
1992,42.82047594,25.694,8.1159,332.3
1993,43.49056672,24.845,8.1141,324
1993,43.49056672,23.123,8.1071,309.6
1993,43.49056672,23.666,8.1128,310.8
1993,43.49056672,23.492,8.0852,333.7
1993,43.49056672,23.877,8.0941,331
1993,43.49056672,26.456,8.1022,360.2
1994,44.15652422,25.688,8.1046,345.4
1994,44.15652422,22.747,8.1173,298.3
1994,44.15652422,22.766,8.1026,309.5
1994,44.15652422,23.525,8.0986,323.4
1994,44.15652422,24.85,8.1002,336.7
1994,44.15652422,25.551,8.0943,351.4
1994,44.15652422,26.318,8.1082,348.4
1994,44.15652422,26.441,8.1093,349.2
1994,44.15652422,26.164,8.1056,349.7
1995,44.82442424,25.2,8.1081,335.1
1995,44.82442424,23.367,8.0858,326.9
1995,44.82442424,23.086,8.0888,323.6
1995,44.82442424,23.826,8.0866,333.9
1995,44.82442424,23.294,8.0897,325.1
1995,44.82442424,25.648,8.1037,344.7
1995,44.82442424,25.944,8.1076,345.1
1995,44.82442424,26.821,8.116,349
1995,44.82442424,26.054,8.1157,339.5
1996,45.47601069,25.659,8.1237,326.7
1996,45.47601069,24.764,8.1042,331.8
1996,45.47601069,23.186,8.0855,328.5
1996,45.47601069,24.153,8.0943,332.8
1996,45.47601069,25.172,8.0975,344.3
1996,45.47601069,26.327,8.1103,344.8
1996,45.47601069,26.293,8.1085,346.8
1996,45.47601069,26.953,8.1123,352.7
1996,45.47601069,27.277,8.1177,352.7
1996,45.47601069,26.516,8.1153,345.8
1997,46.09994438,24.235,8.0903,337.8
1997,46.09994438,23.48,8.0878,330.4
1997,46.09994438,23.894,8.0695,353
1997,46.09994438,23.117,8.086,328
1997,46.09994438,23.432,8.0924,326.2
1997,46.09994438,24.695,8.0968,338.2
1997,46.09994438,25.249,8.1099,333.3
1997,46.09994438,25.525,8.0976,350
1997,46.09994438,25.874,8.1024,351
1997,46.09994438,26.8,8.1076,359.2
1998,46.75127396,24.451,8.1004,333.2
1998,46.75127396,23.509,8.0877,332.5
1998,46.75127396,22.859,8.0818,330.1
1998,46.75127396,24.462,8.0967,337.2
1998,46.75127396,23.302,8.0828,335.4
1998,46.75127396,23.044,8.0761,338.1
1998,46.75127396,24.18,8.0819,348.7
1998,46.75127396,24.288,8.0702,361.6
1998,46.75127396,25.293,8.0865,358.5
1998,46.75127396,25.495,8.0837,365.5
1998,46.75127396,25.687,8.0924,359
1998,46.75127396,25.222,8.0862,359.6
1999,47.38073459,23.742,8.0763,347.8
1999,47.38073459,23.462,8.0669,352.7
